title,category,address,city,neighborhood,latitude,longitude,rating,reviews_count,phone,permanently_closed,scraped_at
New Bismillah Pharma,Pharmacy,"VG9G+VGM, Launch Ghat Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8697093,89.5262952,4.2,9.0,+880 1727-315405,False,2026-01-11T16:14:50.211Z
Square Medicine Corner,Pharmacy,"Kalibari Kedarnath Rd, Khulna 9000, Bangladesh",Khulna,Daulatpur,22.8840378,89.5084018,,,+880 1734-157273,False,2026-01-11T16:14:56.346Z
M pasa Golokdham,Pharmacy,"VGH2+X2X, Khulna, Bangladesh",,,22.88,89.5,,,,False,2026-01-11T16:15:01.035Z
Ujjol Pharmacy,Pharmacy,"VGC3+X93, Opposirte of Fari, Satkhira Rd, Khulna 9202, Bangladesh",Khulna,,22.8723795,89.5034112,3.0,1.0,+880 1718-774469,False,2026-01-11T16:15:02.402Z
FHH Playground,Playground,"VGX2+FM2 KUET, Khulna 9203, Bangladesh",Khulna,Teligati,22.8986333,89.5016355,4.0,1.0,,False,2026-01-11T16:15:02.477Z
College Playground,Playground,"VG8F+FR4, Khulna, Bangladesh",Khulna,Daulatpur,22.8661366,89.5245892,4.5,2.0,,False,2026-01-11T16:15:06.286Z
KUET Central Playground,Playground,"Khulna University of Engineering & Technology, KUET, Khulna, Bangladesh",Khulna,Teligati,22.9005524,89.5023565,5.0,4.0,,False,2026-01-11T16:15:03.483Z
College Playground,Playground,"VFXX+5MH, KUET Rd, Khulna, Bangladesh",Khulna,Teligati,22.8979279,89.4992433,,,,False,2026-01-11T16:15:07.347Z
Mohsin School Playground,Playground,"Daulatpur Mahshin High School Playground, Khan Rd, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.872446,89.5226285,,,,False,2026-01-11T16:15:10.473Z
B. L. College Playground,Playground,"VG8H+XV6 BL College, B.L. College Rd, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8674199,89.5296505,4.6,12.0,,False,2026-01-11T16:15:05.033Z
KUET Central Playground,Playground,"VGX3+RJ7, Khulna 9203, Bangladesh",Khulna,Teligati,22.8995254,89.50404,5.0,1.0,,False,2026-01-11T16:15:12.205Z
মা মেডিসিন কর্ণার,Veterinary pharmacy,"VGC3+QPM, Satkhira Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8719496,89.5042958,5.0,10.0,+880 1757-136793,False,2026-01-11T16:15:04.598Z
Funland,Indoor playground,"Mortoja Mantion, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Daulatpur,22.8702935,89.5251491,4.0,2.0,,False,2026-01-11T16:15:06.124Z
Dauder Math,Playground,"Khulna, Bangladesh",Khulna,Mirerdanga,22.8935097,89.5154757,5.0,1.0,,False,2026-01-11T16:15:15.801Z
KDA Playground,Playground,"VGF9+3XC, Daulatpur, Bangladesh",Daulatpur,Daulatpur,22.872299,89.5200491,,,,False,2026-01-11T16:15:15.867Z
Teligati School Playground,Playground,"VFVV+X9H, KUET Rd, Khulna, Bangladesh",Khulna,Teligati,22.8948452,89.4935159,4.5,6.0,,False,2026-01-11T16:15:11.543Z
বাদাম তলা,Playground,"VGJ6+W3M, Khulna, Bangladesh",Khulna,Daulatpur,22.8823402,89.5101824,5.0,3.0,,False,2026-01-11T16:15:19.080Z
Mohasin School PlayGround,Playground,"VGFF+65P, Mohsin Mor Bus Stop, Khulna - Jessore - Dhaka Hwy, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8730753,89.5229671,5.0,1.0,,False,2026-01-11T16:15:15.930Z
Mollapara Field,Playground,"Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8674375,89.5128125,3.5,2.0,,False,2026-01-11T16:15:18.947Z
School Playground,Playground,"1 Satkhira Rd, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8711764,89.502293,5.0,1.0,,False,2026-01-11T16:15:22.304Z
Saradanga Playground,Playground,"Khulna, Bangladesh",Khulna,Daulatpur,22.8814802,89.5086147,,,,False,2026-01-11T16:15:22.470Z
গণবাংলা সেবক সংঘ খেলার মাঠ,Playground,"VGG4+63C, Khulna, Bangladesh",Khulna,Arongghata,22.8755609,89.5051446,5.0,1.0,,False,2026-01-11T16:15:22.662Z
Deana Azizul Memorial Club Play Ground,Playground,"VG67+4GR, Khulna, Bangladesh",Khulna,Daulatpur,22.8603527,89.5137782,3.4,5.0,,False,2026-01-11T16:15:11.604Z
ফুলবাড়ী গেট নদীর পাড়,Garden,"VGX9+249, Khulna, Bangladesh",Khulna,Mirerdanga,22.8975263,89.5178515,4.5,4.0,,False,2026-01-11T16:15:29.707Z
Beer Bangali,Sculpture,"VG7H+2WW, Khulna, Bangladesh",,,22.8626071,89.5298185,4.0,3.0,,False,2026-01-11T16:15:32.374Z
P for Pasta,Fast food restaurant,"VFCV+528, Bangladesh",,Arongghata,22.8704195,89.492569,5.0,3.0,,False,2026-01-11T16:15:31.514Z
Deana South Para Eidgah Moydan,Playground,"VG67+4QV, Unnamed Road, Khulna, Bangladesh",Khulna,Daulatpur,22.8603747,89.5144273,4.4,7.0,+880 1925-370016,False,2026-01-11T16:15:19.518Z
PIKU,Apartment building,"VGF4+2WX, Khulna, Bangladesh",,,22.8723975,89.5072138,,,,False,2026-01-11T16:15:36.214Z
Maiudkhāli Nadi,River,Bangladesh,,,22.9277595,89.5152817,5.0,1.0,,False,2026-01-11T16:15:31.361Z
Bhairab River View Point B L College,Park,"VG9H+MPH, Khulna, Bangladesh",Khulna,,22.8691934,89.5293474,4.2,6.0,,False,2026-01-11T16:15:30.663Z
Advocate's House,Legal services,"VGF4+3X2, Khulna, Bangladesh",,,22.8726193,89.5073712,5.0,1.0,,False,2026-01-11T16:15:38.835Z
Advocate R. K. Hazra,Legal services,"40, 2 Pabla Mazumder para, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8717051,89.510139,,,+880 1712-083280,False,2026-01-11T16:15:39.401Z
Freedom Fighters Statue,Sculpture,"VG9H+C9Q, Khulna, Bangladesh",,,22.8685938,89.5284938,5.0,4.0,,False,2026-01-11T16:15:35.445Z
খুলনা ম্যারেজ মিডিয়া অফিসিয়াল,Bangladeshi restaurant,"Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8717051,89.510139,,,+880 1712-568476,False,2026-01-11T16:15:40.532Z
সপ্নের নীর,Apartment building,"VGF2+Q7F, Khulna, Bangladesh",,,22.875566,89.501111,,,,False,2026-01-11T16:15:39.867Z
মহেশ্বরপাশা কালীবাড়ি মাঠ,Playground,"VGJ5+HCX, Khulna, Bangladesh",Khulna,Daulatpur,22.8814895,89.5086217,4.8,4.0,,False,2026-01-11T16:15:29.785Z
Bypass Cafe,Cafe,"VFGV+42V, Khulna, Bangladesh",Khulna,Arongghata,22.8746683,89.491285,,,,False,2026-01-11T16:15:41.386Z
আলমগীর টি স্টল,Coffee shop,"VG92+QPF, Khulna, Bangladesh",Khulna,Daulatpur,22.8694418,89.5018072,5.0,2.0,,False,2026-01-11T16:15:46.872Z
RafsVille,Restaurant,"VFCX+P7G, Satkhira Rd, Khulna, Bangladesh",Khulna,Arongghata,22.8718079,89.4982178,5.0,5.0,,False,2026-01-11T16:15:47.254Z
Durbar Bangla,Sculpture,"Khulna, Bangladesh",Khulna,Teligati,22.8991237,89.5023462,4.7,50.0,,False,2026-01-11T16:15:40.852Z
Shalua River,River,Bangladesh,,,22.8689244,89.478364,4.3,30.0,,False,2026-01-11T16:15:47.909Z
বউ শাশুড়ীর হেঁসেল,Restaurant,"Farukia mosjid, Cross Rd, Khulna 9000, Bangladesh",Khulna,boyra,22.8780372,89.5124931,,,+880 1985-482254,False,2026-01-11T16:15:46.709Z
সুশীল ভলকানাইজিং,Used tire shop,"VFFV+7HX, Khulna City Bypass, Khulna, Bangladesh",Khulna,Daulatpur,22.8732282,89.4939765,5.0,1.0,,False,2026-01-11T16:15:48.061Z
Shaheen Art Press- Printing Press,Print shop,"VGFF+H79 Shaheen Art Pres, Khulna, Bangladesh",Khulna,Daulatpur,22.8739215,89.5232337,5.0,3.0,+880 1711-329212,False,2026-01-11T16:15:50.822Z
Bismillah Restaurant and Tea Stall,Restaurant,"Khulna 9202, Bangladesh",Khulna,Arongghata,22.8655487,89.4983795,4.5,21.0,+880 1787-042353,False,2026-01-11T16:15:51.330Z
khulnarkantho,Newspaper publisher,"VGP4+392, Kalibari Rd, Khulna, Bangladesh",Khulna,Kalibari,22.8851307,89.5058942,5.0,3.0,+880 1785-797875,False,2026-01-11T16:15:53.511Z
ChakrirKhoborBD,Newspaper publisher,"Amader Kutir,205/3, Maheshwar Pasha Munsipara, Khulna 9203, Bangladesh",Khulna,Daulatpur,22.8841697,89.5048975,3.7,12.0,+880 1703-852369,False,2026-01-11T16:15:52.902Z
MOLLAH COMPUTER & PHOTOSTAT,Publisher,"মৌচাক টাওয়ার, Khulna 9202, Bangladesh",Khulna,Daulatpur,22.8717051,89.510139,,,+880 1785-931319,False,2026-01-11T16:15:53.280Z
Hotel Al-Jamil,Restaurant,"VFCR+9WW, Khulna City Bypass, Khulna, Bangladesh",Khulna,Arongghata,22.870991,89.4923403,4.4,714.0,+880 1790-013666,False,2026-01-11T16:15:45.007Z
Aakash coffee house,Coffee shop,"Arongghata High School, Satkhira Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8711252,89.5023613,5.0,1.0,,False,2026-01-11T16:16:00.074Z
Jagannath Veg Restaurant,Vegetarian restaurant,"Pabla, Bonik Para Rd, Khulna 9100, Bangladesh",Khulna,Daulatpur,22.8676492,89.5215932,3.9,7.0,+880 1919-839789,False,2026-01-11T16:15:48.573Z
BG Coffee House,Coffee shop,"VGH6+6XX Sitala Mondir, Khulna, Bangladesh",Khulna,Daulatpur,22.8781031,89.5124894,,,,False,2026-01-11T16:16:00.043Z
Mitun coffee house,Coffee shop,"VG82+RFV, Unnamed Road, Khulna, Bangladesh",Khulna,Arongghata,22.8671175,89.5011794,5.0,2.0,,False,2026-01-11T16:16:02.341Z
"Department Of Urban and Regional Planning, KUET",Academic department,"KUET, Khulna 9203, Bangladesh",Khulna,Teligati,22.8997309,89.5011681,4.5,6.0,+880 41-769468,False,2026-01-11T16:16:00.253Z
মাহিম রেস্টুরেন্টে,Restaurant,"VGH4+9FF, Arongghata Road, Khulna, Bangladesh",Khulna,Arongghata,22.8784318,89.50617,3.0,2.0,,False,2026-01-11T16:15:51.319Z
Building no. 8,Apartment building,"WG32+F4H, Khulna, Bangladesh",,,22.9031347,89.5003548,,,,False,2026-01-11T16:16:01.687Z
CAER ADDA,Coffee shop,"VG82+RH8, Khulna, Bangladesh",Khulna,Daulatpur,22.8670366,89.5014579,3.9,9.0,+880 1952-123435,False,2026-01-11T16:15:59.635Z
"অঞ্জন বিশ্বাস, মৎস্য অফিসার",Apartment building,"VF6V+3PC, Lata, Bangladesh",,,22.8590663,89.4946262,5.0,1.0,,False,2026-01-11T16:16:03.631Z
CupPirich Restaurant,Restaurant,"B10 Mojid Sharoni, Molla Bari, Khulna 9100, Bangladesh",Khulna,Mor,22.8819355,89.5080614,4.3,94.0,+880 1842-300400,False,2026-01-11T16:15:51.405Z
1no. Building,Apartment building,"WG22+VCH, Khulna, Bangladesh",,,22.9021784,89.5011088,,,,False,2026-01-11T16:16:03.660Z
Teachers and Officers Residential Building,Apartment building,"WG33+H43, Khulna, Bangladesh",,,22.9040501,89.502014,5.0,1.0,,False,2026-01-11T16:16:04.042Z
12 Number Building,Apartment building,"WG22+W3P KUET, Khulna 9203, Bangladesh",,,22.902293,89.5000052,5.0,1.0,,False,2026-01-11T16:16:06.298Z
Moktar's Building,Apartment building,"House 24/24, Akankha Tower, Pratapaditto Rd, Khulna 9202, Bangladesh",,,22.8693605,89.5257835,,,,False,2026-01-11T16:16:05.562Z
Bidhaok Mondal,Apartment building,"VFCJ+C7, Khulna, Bangladesh",Khulna,Arongghata,22.8710523,89.4807355,,,,False,2026-01-11T16:16:07.289Z
জ্যোতির্ময় মালী,Apartment building,"VF4R+JR6, Khulna City Bypass, Khulna, Bangladesh",,,22.8565491,89.4920041,3.3,3.0,,False,2026-01-11T16:16:03.017Z
Nitus house,Apartment building,"VF6W+P92, Bangladesh",,,22.8617745,89.4958781,,,,False,2026-01-11T16:16:06.883Z
সোহান মল্লিক,Apartment building,"VF4R+3X Lata, Khulna, Bangladesh",,,22.8551077,89.4926075,,,,False,2026-01-11T16:16:07.731Z
UTPAL HOUSE,Apartment building,"VF9M+CC9, Bangladesh",,,22.8685317,89.4836027,,,,False,2026-01-11T16:16:08.502Z
Joy Building,Apartment building,"VF4R+JR6, Khulna City Bypass, Khulna, Bangladesh",Khulna,Arongghata,22.8560562,89.4924087,5.0,1.0,+880 1957-144776,False,2026-01-11T16:16:08.859Z
আবির হাসান কফি হাউস,Coffee shop,"VGC2+W3P চেচুঁড়ী বকুলতলা, Khulna, Bangladesh",Khulna,Arongghata,22.8723313,89.5002027,,,,False,2026-01-11T16:16:10.389Z
RCC Building,Apartment building,"263 Bonik Para Rd, Khulna, Bangladesh",,,22.8666935,89.5227696,4.0,1.0,,False,2026-01-11T16:16:09.192Z
Rabbi tea store,Coffee shop,"VGH4+999, Kodomtola mor, Arongghata Rd, Khulna, Bangladesh",Khulna,Arongghata,22.8784133,89.5059883,,,,False,2026-01-11T16:16:11.610Z
আলামিন খান এর চায়ের দোকান,Coffee shop,"VFGX+7M2, Khulna, Bangladesh",Khulna,Arongghata,22.8756377,89.4991354,,,+880 1918-857871,False,2026-01-11T16:16:11.520Z
Wahida Electric,Electrical products wholesaler,"Bazar, Satkhira Rd, Khulna 9202, Bangladesh",Khulna,Arongghata,22.8719374,89.5043725,,,+880 1307-027022,False,2026-01-11T16:16:10.614Z
Department of Energy Science and Engineering,Academic department,"Block C - 2nd Floor, KUET, New Academic Building, Khulna 9203, Bangladesh",,,22.8993353,89.5013659,5.0,3.0,,False,2026-01-11T16:16:13.304Z
বেটার প্লেস,Gas shop,"42/1, 2 Cross Rd, Khulna 9100, Bangladesh",Khulna,Daulatpur,22.8779166,89.511977,,,,False,2026-01-11T16:16:13.268Z
Boithok Khana,Restaurant,"VFFR+WG4, Bypass, Khulna, Bangladesh",Khulna,Arongghata,22.8747715,89.4913164,5.0,1.0,,False,2026-01-11T16:15:55.013Z
Business Administration Building,Academic department,"VG8H+QMM, Govt, B.L. College Rd, Khulna, Bangladesh",,,22.8669741,89.5291858,4.0,2.0,,False,2026-01-11T16:16:17.172Z
"Administrative Building, KUET",Academic department,"WG22+6WG, আমতলা হতে ফুলবাড়ি, শেরপুর, Bangladesh",শেরপুর,Teligati,22.9005526,89.5023431,4.9,9.0,+880 41-774403,False,2026-01-11T16:16:15.967Z
Jeet Tea Stall,Coffee shop,"VFFR+2GX, Bangladesh",,Arongghata,22.8726224,89.4913695,4.7,6.0,,False,2026-01-11T16:16:13.459Z
Lalon Shah Hall New Residential Building,Apartment building,"VGX2+438, KUET Campus, Khulna, Bangladesh",,,22.8977961,89.5002048,5.0,3.0,,False,2026-01-11T16:16:09.478Z
রিয়াজ টি স্টল,Coffee shop,"VGJ2+HFF, Khulna, Bangladesh",Khulna,Shah Para,22.8814388,89.5011571,5.0,3.0,,False,2026-01-11T16:16:15.095Z
Department of Physics,Academic department,"VG9H+C3C, B.L. College Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8685619,89.5276338,5.0,6.0,+880 41-760821,False,2026-01-11T16:16:19.462Z
Arts Building,Academic department,"Kashipur B.L. College Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8665483,89.5291696,4.8,5.0,,False,2026-01-11T16:16:14.498Z
Dept. Of Geography and Environment,Academic department,"VG8J+G3C, Khulna, Bangladesh",Khulna,Daulatpur,22.8663031,89.5301373,4.8,11.0,+880 41-762944,False,2026-01-11T16:16:20.622Z
Department of Textile Engineering,Academic department,"New Academic Building Block 3, KUET Rd, Khulna 9203, Bangladesh",Khulna,Teligati,22.8990768,89.5013371,5.0,9.0,+880 41-769468,False,2026-01-11T16:16:23.031Z
Leather Engineering Department,Academic department,"KUET Rd, Khulna, Bangladesh",Khulna,Teligati,22.9001812,89.500973,4.4,14.0,,False,2026-01-11T16:16:16.592Z
Department of Electrical & Electronic Engineering,Academic department,"Electrical Engineering Building, Khulna 9203, Bangladesh",Khulna,Teligati,22.8997933,89.50293,4.2,61.0,+880 41-774782,False,2026-01-11T16:16:13.300Z
AD CRAFT,Bag shop,"VG92+RM9, Khulna, Bangladesh",Khulna,Daulatpur,22.869685,89.501887,,,,False,2026-01-11T16:16:26.008Z
Department of Electronics & Communication Engineering,Academic department,"KUET, New Academic Building Block 3, Ground and 1st Floor, Khulna 9203, Bangladesh",Khulna,Teligati,22.8989984,89.50129,4.3,14.0,+880 41-774021,False,2026-01-11T16:16:23.251Z
KUET Auditorium,Academic department,"KUET Auditorium, Khulna 9203, Bangladesh",Khulna,Teligati,22.8990471,89.5029652,4.7,33.0,+880 1308-090832,False,2026-01-11T16:16:15.636Z
"সরকারি ব্রজলাল কলেজ, রোভার স্কাউট গ্রুপ, খুলনা Govt. B.L. College, Rover",University,"VG8J+72Q, Khulna, Bangladesh",,,22.8657211,89.5301217,5.0,3.0,,False,2026-01-11T16:16:29.845Z
BAUST Khulna Permanent Campus,University,"6 No. Jogipol, Upazilla:, N 709, Union:, Khulna, Bangladesh",,,22.9042939,89.4831107,5.0,2.0,,False,2026-01-11T16:16:29.068Z
Department of Mechatronics Engineering,University,"WG22+769, Khulna 9203, Bangladesh",,,22.9003953,89.5006974,5.0,1.0,,False,2026-01-11T16:16:30.973Z
Department of Mechanical Engineering,Academic department,"WG22+5P6, Khulna 1122, Bangladesh",Khulna,Teligati,22.9004184,89.5017612,4.5,67.0,+880 41-774900,False,2026-01-11T16:16:20.619Z
"Department of Humanities and Business, KUET",Public university,"VGX2+JQW, Khulna, Bangladesh",Khulna,Khulna City,22.8991013,89.5019446,4.0,5.0,+880 1719-463903,False,2026-01-11T16:16:29.950Z
Department of Business Study,University,"VG8H+QJQ, B.L. College Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8669695,89.5291168,5.0,1.0,+880 41-760764,False,2026-01-11T16:16:33.594Z
বাংলা বিভাগ,University,"VG8H+R92, Khulna, Bangladesh",,,22.8670059,89.5284026,5.0,1.0,,False,2026-01-11T16:16:33.296Z
প্রণব চত্ত্বর।,University,"VG9G+Q9R, Khulna, Bangladesh",,,22.869481,89.5259051,5.0,1.0,,False,2026-01-11T16:16:33.988Z
Khulna Agricultural University (Temporary Boys' Hall),University,"VG86+HG2, Khulna, Bangladesh",,,22.8670649,89.5116405,,,,False,2026-01-11T16:16:37.136Z
Department of Management,University,"VG8H+PJV, Khulna, Bangladesh",,,22.8668719,89.5290604,,,,False,2026-01-11T16:16:33.852Z
Dhupu Butcher Shop,Butcher shop,"VGM8+8WM, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Maniktala,22.8833293,89.5173066,,,,False,2026-01-11T16:16:37.987Z
Department of Civil Engineering,Academic department,"Civil Engineering Building, KUET Rd, Khulna 9203, Bangladesh",Khulna,Teligati,22.9004147,89.502937,4.8,56.0,+880 41-769471,False,2026-01-11T16:16:24.124Z
Department of Computer Science and Engineering,Academic department,"New Academic Building, KUET, Block B, Khulna 9203, Bangladesh",Khulna,Teligati,22.8990573,89.5015396,4.6,35.0,+880 41-769471,False,2026-01-11T16:16:26.066Z
Jumman Meat Shop,Butcher shop,"VGCG+J34, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Daulatpur,22.8715234,89.5252102,5.0,1.0,,False,2026-01-11T16:16:40.335Z
Khulna Agricultural University Temporary Campus,University,"VG78+G7J, Khulna, Bangladesh",Khulna,Daulatpur,22.8638316,89.5156357,4.3,43.0,+880 1711-341261,False,2026-01-11T16:16:36.503Z
Monir Tea Shop,Coffee shop,"VGQ2+MRJ, মহেশেৱর পাশা মেইন রোড, Khulna, Bangladesh",Khulna,Munshi Para,22.8890936,89.5020891,,,,False,2026-01-11T16:16:40.480Z
BBA Building BL College,University,"VG8H+QMX BL College, B.L. College Rd, Khulna 9202, Bangladesh",,,22.8669859,89.529221,,,,False,2026-01-11T16:16:38.471Z
"Khulna Agricultural University, Temporary Campus-2",University,"Khulna, Bangladesh",,,22.8662981,89.5081056,3.2,6.0,,False,2026-01-11T16:16:37.279Z
Mamun Tech | Website Design & Digital Marketing Services | Khulna,Website designer,"Mortaja manson, Khulna 9100, Bangladesh",Khulna,Daulatpur,22.8634457,89.5167539,4.2,5.0,+880 1733-669486,False,2026-01-11T16:16:47.631Z
Sarkar Bari,Internet cafe,"VF4R+JR6, Khulna City Bypass, Khulna, Bangladesh",Khulna,Arongghata,22.855927,89.492074,5.0,1.0,,False,2026-01-11T16:16:46.627Z
Department of Industrial Engineering and Management,Academic department,"KUET, New Academic Building Block 4, Ground and 1st floor, Khulna 9203, Bangladesh",Khulna,Teligati,22.8990252,89.5010992,4.8,15.0,+880 41-287054,False,2026-01-11T16:16:23.179Z
Blur Web & Graphic Design,Design agency,"Holding No #139, Khulna 9203, Bangladesh",Khulna,Shah Para,22.8842288,89.5002643,,,+880 1358-130112,False,2026-01-11T16:16:48.210Z
BL College 2nd Gate,University,"VG8H+Q73, B.L. College Rd, Khulna, Bangladesh",Khulna,Daulatpur,22.8668907,89.5281763,4.1,26.0,,False,2026-01-11T16:16:32.351Z
জামিয়া ইসলামিয়া নূরে জান্নাত মহিলা মাদ্রাসা,Education center,"VFFW+8M6, Khulna, Bangladesh",,,22.8732835,89.4966261,,,,False,2026-01-11T16:16:50.304Z
Scholars Academy,Education center,"VFCX+Q6G, Khulna, Bangladesh",Khulna,Arongghata,22.8719261,89.498082,,,+880 1912-905717,False,2026-01-11T16:16:51.991Z
Khulna University of Engineering & Technology,Public university,"Khulna 9203, Bangladesh",Khulna,Teligati,22.9005524,89.5023565,4.6,3057.0,,False,2026-01-11T16:16:37.214Z
JIT'S ICT SOLUTION,Education center,"VFJG+X3, Khulna, Bangladesh",Khulna,,22.8824712,89.4751856,5.0,1.0,+880 1918-787867,False,2026-01-11T16:16:52.856Z
Lalan Shah Hall Canteen,Cafeteria,"Lalan Shah Hall, Khulna, Bangladesh",,,22.8983262,89.5006877,3.9,40.0,,False,2026-01-11T16:16:47.456Z
তুফাজ উল উলুম প্রি-ক্যাডেট মাদ্রাসা,Education center,"VFFX+63X, Khulna, Bangladesh",,,22.8731049,89.4977282,,,,False,2026-01-11T16:16:52.017Z
Adult education center,Adult education school,"VG7J+M2W, B.L. College Rd, Khulna, Bangladesh",,,22.8642435,89.5300636,,,,False,2026-01-11T16:16:51.646Z
Deana North National Club,Club,"VG98+CVF, Deana North School Road, Khulna, Bangladesh",,,22.8685601,89.5171772,,,,False,2026-01-11T16:16:54.592Z
Designify Digital | Graphic Designer | Digital Marketing,Graphic designer,"Khulna 9202, Bangladesh",Khulna,Daulatpur,22.868893,89.5213862,5.0,11.0,+880 1724-267611,False,2026-01-11T16:16:47.794Z
Jobu Gosti Club/ Laibary,Club,"VGQ3+9Q9, Road, Khulna, Bangladesh",,,22.8884233,89.5044763,,,,False,2026-01-11T16:16:54.065Z
URP building,Academic department,"VGX2+VF7, KUET Rd, Khulna 9203, Bangladesh",Khulna,Teligati,22.8996527,89.5011869,5.0,8.0,,False,2026-01-11T16:16:23.856Z
Cafe D KUET Street,Restaurant,"KUET Rd, Khulna 9203, Bangladesh",Khulna,Teligati,22.8976423,89.5071349,4.1,76.0,+880 1996-176252,False,2026-01-11T16:16:47.063Z
একুশে ক্যান্টিন,Cafeteria,"VGX2+8FQ, Khulna, Bangladesh",Khulna,Teligati,22.8983269,89.5012228,3.5,167.0,,False,2026-01-11T16:16:49.567Z
C&B Sports Club,Athletic club,"VGP9+C4G, Khulna - Jessore - Dhaka Hwy, Khulna, Bangladesh",Khulna,Mirerdanga,22.8861713,89.5178314,5.0,2.0,+880 1604-611400,False,2026-01-11T16:16:58.347Z
Sugandhi Rose Club,Sports club,"VGHP+442, Bangladesh",,,22.8777549,89.5352597,5.0,1.0,,False,2026-01-11T16:16:56.581Z
Shalua Purnachandra Secondary School,General education school,"VF9J+XJJ, Old Satkhira Rd, Bangladesh",,Arongghata,22.8699503,89.4815135,,,+880 1721-054297,False,2026-01-11T16:16:51.954Z
